# Plate,T4,Quality,GOOD,FWHM_MAX,10
# IS_median_FWHM,6.0,Samp_median_FWHM,8.0,IS_per_well,5.5
Well,N_Peaks,MF,Status,Scans,Norm_Areas
C07,1,0.0000,homozygous (1 peak),2401,7.90
C08,1,0.0000,homozygous (1 peak),2401,7.72
C09,4,0.4413,het (4 peaks),2311;2411;2570;2612,2.35;3.84;1.55;2.20
C10,4,0.3269,het (4 peaks),2299;2396;2538;2576,2.97;2.18;0.80;1.16
C11,3,0.5508,low MF (3 peaks),2354;2590;2625,3.88;1.67;2.19
C12,4,0.4744,het (4 peaks),2321;2421;2568;2601,2.59;3.37;1.68;2.29
D01,1,0.0000,homozygous (1 peak),2376,6.79
D02,4,0.3406,het (4 peaks),2342;2442;2584;2624,2.01;1.85;0.98;0.93
D03,1,0.0000,homozygous (1 peak),2374,5.49
D04,4,0.4057,het (4 peaks),2294;2396;2550;2595,3.79;2.48;2.02;1.93
D05,1,0.0000,homozygous (1 peak),2381,7.96
D06,4,0.4171,het (4 peaks),2413;2520;2676;2718,3.67;3.38;2.35;2.30
D07,4,0.3302,het (4 peaks),2313;2411;2549;2582,3.55;2.48;1.25;1.31
D08,1,0.0000,homozygous (1 peak),2300,9.50
D09,4,0.4243,het (4 peaks),2407;2513;2688;2740,2.51;3.61;2.14;2.08
D10,3,0.5412,low MF (3 peaks),2286;2397;2530,2.60;2.47;3.22
D11,12,0.4861,het (12 peaks),2228;2278;2490;2560;2606;2655;2710;2753;2799;2842;2885;2928,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
D12,1,0.0000,homozygous (1 peak),2467,7.90
E01,2,0.4000,het-like (2 peaks),2493;2535,5.50;3.83
E02,1,0.0000,homozygous (1 peak),2371,5.58
E03,4,0.4830,het (4 peaks),2265;2361;2480;2514,3.07;2.67;2.70;2.59
E04,1,0.0000,homozygous (1 peak),2397,8.74
E05,4,0.4583,het (4 peaks),2510;2571;2680;2732,3.43;1.91;3.34;4.64
E06,4,0.4826,het (4 peaks),2283;2381;2514;2549,2.74;2.80;2.01;2.41
E07,1,0.0000,homozygous (1 peak),2384,9.06
E08,1,0.0000,homozygous (1 peak),2294,9.42
E09,0,0.0000,no peaks,,
E10,4,0.4690,het (4 peaks),2300;2401;2547;2584,2.90;3.16;1.90;2.42
E11,4,0.4921,het (4 peaks),2297;2393;2533;2566,2.24;2.66;1.62;2.08
E12,4,0.4523,het (4 peaks),2330;2450;2640;2687,2.97;2.25;1.85;1.89
F01,4,0.4954,het (4 peaks),2264;2372;2511;2547,1.46;1.69;1.62;1.29
F02,4,0.4650,het (4 peaks),2266;2366;2508;2548,2.18;2.00;1.81;1.53
F03,1,0.0000,homozygous (1 peak),2374,8.27
F04,1,0.0000,homozygous (1 peak),2284,10.15
F05,4,0.4615,het (4 peaks),2301;2387;2530;2574,2.65;2.34;2.20;2.03
F06,1,0.0000,homozygous (1 peak),2505,7.98
F07,4,0.4309,het (4 peaks),2321;2414;2543;2574,4.55;3.50;2.50;2.64
F08,4,0.4885,het (4 peaks),2305;2403;2540;2574,2.57;3.03;2.59;2.64
F09,4,0.4962,het (4 peaks),2298;2402;2551;2591,2.80;2.83;1.88;2.42
F10,1,0.0000,homozygous (1 peak),2432,1.71
F11,4,0.4943,het (4 peaks),2355;2463;2613;2649,2.21;2.53;1.63;2.13
F12,1,0.0000,homozygous (1 peak),2476,9.83
G01,2,0.2541,het-like (2 peaks),2312;2349,2.79;8.19
G02,1,0.0000,homozygous (1 peak),2526,7.15
G03,4,0.4488,het (4 peaks),2286;2387;2532;2580,1.26;2.18;1.48;1.95
G04,1,0.0000,homozygous (1 peak),2350,7.28
G05,1,0.0000,homozygous (1 peak),2407,8.39
G06,4,0.4803,het (4 peaks),2258;2359;2505;2544,1.98;2.50;2.14;2.04
G07,4,0.4184,het (4 peaks),2322;2416;2540;2571,3.41;3.02;1.96;2.03
G08,1,0.0000,homozygous (1 peak),2295,9.96
G09,1,0.0000,homozygous (1 peak),2411,9.93
G10,4,0.3803,het (4 peaks),2345;2451;2608;2648,2.13;2.74;1.78;3.84
G11,1,0.0000,homozygous (1 peak),2467,9.03
G12,1,0.0000,homozygous (1 peak),2488,9.40
H01,1,0.0000,homozygous (1 peak),2386,2.49
H02,4,0.4703,het (4 peaks),2345;2442;2581;2622,1.84;2.08;1.62;1.21
H03,4,0.4953,het (4 peaks),2271;2370;2507;2549,2.67;2.11;2.25;1.51
H04,1,0.0000,homozygous (1 peak),2474,7.17
H05,1,0.0000,homozygous (1 peak),2378,6.55
H06,4,0.4438,het (4 peaks),2389;2502;2655;2696,2.79;2.24;1.99;1.79
H07,4,0.4721,het (4 peaks),2304;2397;2525;2559,3.05;3.27;2.00;2.65
H08,1,0.0000,homozygous (1 peak),2523,2.25
H09,3,0.6246,low MF (3 peaks),2313;2401;2556,5.26;4.99;2.46
H10,1,0.0000,homozygous (1 peak),2268,8.62
H11,4,0.3670,het (4 peaks),2313;2416;2568;2605,3.32;3.43;1.47;1.58
H12,4,0.4438,het (4 peaks),2271;2386;2593;2646,2.70;2.88;2.25;1.75
