well,recall,dll_b,dll_cov,dll_id,dll_fi,port_b,port_cov,port_id,port_fi,ref_b,ref_cov,ref_id,ref_fi
C11,99.6,899,87.20800889877641,96.487,85.53948832035596,724,75.96685082872928,92.53,77.34806629834254,728,89.97252747252747,96.307,89.56043956043956
C12,97.8,854,86.18266978922716,97.852,85.36299765807962,720,75.27777777777777,91.681,77.91666666666667,718,89.13649025069638,95.217,89.13649025069638
D02,97.9,854,87.0023419203747,97.878,86.4168618266979,722,76.86980609418282,91.681,78.80886426592798,719,91.51599443671766,96.193,91.3769123783032
D01,97.5,865,89.94219653179191,96.587,88.32369942196532,811,81.0110974106042,95.118,79.53144266337854,714,92.29691876750701,97.037,91.73669467787114
D03,97.4,858,88.34498834498835,96.159,87.52913752913753,756,81.08465608465609,92.802,81.87830687830687,732,93.85245901639344,95.933,93.5792349726776
D04,99.0,877,85.5188141391106,97.625,84.37856328392246,732,71.5846994535519,93.333,71.99453551912568,726,92.56198347107438,95.72,92.8374655647383
D05,99.6,871,87.37083811710677,96.807,87.0264064293915,750,79.33333333333333,92.656,81.33333333333333,722,92.24376731301939,95.415,92.5207756232687
D06,98.1,846,86.52482269503547,98.383,86.28841607565012,728,76.37362637362638,92.475,78.57142857142857,727,92.98486932599725,95.745,92.84731774415405
D07,98.6,864,85.18518518518519,97.59,84.375,739,75.3721244925575,93.086,76.7253044654939,729,92.72976680384087,95.063,92.5925925925926
D08,99.3,895,86.81564245810056,94.937,83.91061452513966,739,73.74830852503383,94.571,74.2895805142084,727,91.19669876203577,95.785,90.92159559834938
D09,97.8,867,84.77508650519032,97.849,83.96770472895041,769,83.74512353706112,92.857,84.52535760728219,730,91.36986301369863,96.793,90.95890410958904
D10,99.7,890,88.08988764044943,96.5,86.85393258426966,752,74.60106382978724,93.96,76.32978723404256,724,89.3646408839779,96.396,88.8121546961326
D11,97.7,872,91.85779816513761,94.813,90.48165137614679,795,82.76729559748428,95.301,82.26415094339623,721,91.4008321775312,96.623,91.2621359223301
D12,99.9,869,85.7307249712313,97.226,84.81012658227849,694,76.94524495677233,89.112,79.97118155619597,709,94.49929478138223,95.157,94.64033850493654
E02,99.5,865,88.67052023121387,96.193,87.6300578034682,731,77.01778385772914,92.55,78.52257181942545,712,89.88764044943821,96.52,89.6067415730337
E01,98.0,875,84.34285714285714,97.989,83.77142857142857,795,83.8993710691824,93.948,82.51572327044025,718,92.06128133704735,95.501,91.92200557103064
E03,97.6,865,90.40462427745665,95.896,89.47976878612717,749,74.76635514018692,93.57,75.03337783711615,724,91.16022099447514,96.613,90.88397790055248
E04,98.9,869,86.30609896432681,96.706,84.46490218642117,726,70.9366391184573,91.187,71.48760330578513,728,91.62087912087912,94.707,91.07142857142857
E05,99.5,875,89.6,96.049,89.37142857142857,750,81.86666666666666,93.241,82.4,718,91.36490250696379,95.595,90.80779944289694
E06,98.6,867,85.00576701268743,97.978,83.85236447520184,723,79.66804979253112,91.653,81.46611341632088,727,91.88445667125173,95.108,91.19669876203577
E07,96.9,863,86.90614136732329,97.9,86.44264194669756,814,84.76658476658477,94.175,84.15233415233415,730,87.3972602739726,96.947,87.26027397260275
E08,99.3,870,84.82758620689656,97.864,84.25287356321839,760,84.21052631578948,90.765,85.0,721,89.73647711511789,95.976,89.45908460471567
E10,99.6,880,86.25,96.534,85.45454545454545,706,74.5042492917847,91.099,76.20396600566572,728,92.17032967032966,95.115,91.07142857142857
E09,98.9,869,85.8457997698504,97.757,85.385500575374,738,75.60975609756098,93.581,77.10027100271003,730,90.82191780821918,95.382,90.82191780821918
E11,99.1,862,85.7308584686775,98.128,85.26682134570765,698,75.21489971346705,88.889,77.79369627507164,731,90.56087551299589,96.481,90.15047879616964
E12,98.6,883,89.69422423556058,95.197,87.65571913929784,717,71.68758716875871,90.409,73.77963737796374,732,86.74863387978142,96.347,86.6120218579235
F01,97.6,850,89.29411764705883,97.04,88.82352941176471,744,80.64516129032258,92.57,82.52688172043011,729,93.96433470507544,95.105,93.68998628257887
F02,97.5,844,89.0995260663507,96.521,88.74407582938389,734,76.02179836512262,92.359,77.9291553133515,698,91.54727793696276,95.783,91.26074498567336
F04,98.9,863,86.558516801854,97.751,85.63151796060255,747,80.32128514056225,91.667,81.52610441767068,727,93.39752407152682,94.789,92.84731774415405
F03,99.6,878,84.85193621867882,96.579,83.94077448747153,719,69.26286509040334,92.966,68.9847009735744,719,93.46314325452016,94.16,92.35048678720445
F05,99.3,855,83.74269005847954,97.796,83.04093567251462,752,84.84042553191489,92.931,85.23936170212765,707,90.0990099009901,95.928,90.0990099009901
F06,99.5,871,87.71526980482204,96.569,87.25602755453502,732,74.72677595628416,92.034,76.36612021857924,718,90.66852367688023,95.852,90.3899721448468
F07,98.2,851,90.36427732079906,96.343,89.77673325499413,765,81.69934640522875,94.251,82.61437908496733,725,91.17241379310344,96.618,90.75862068965517
F08,98.3,862,86.5429234338747,97.358,85.49883990719258,768,77.734375,94.551,77.99479166666667,718,91.5041782729805,95.197,91.36490250696379
F09,98.7,873,89.80526918671248,96.526,89.11798396334478,765,77.38562091503267,95.469,78.30065359477125,725,90.20689655172414,96.444,89.93103448275862
F10,97.9,887,87.93686583990981,96.871,87.37316798196167,804,82.08955223880596,93.506,81.46766169154229,742,91.10512129380054,96.264,90.43126684636118
F11,99.7,873,89.11798396334478,96.259,88.43069873997709,725,76.82758620689656,91.376,78.48275862068965,707,91.93776520509194,96.557,91.37199434229137
F12,98.1,848,87.97169811320755,98.016,87.38207547169812,738,75.74525745257452,92.206,77.64227642276423,705,94.8936170212766,94.872,94.8936170212766
G01,96.6,842,87.64845605700712,97.337,86.81710213776722,775,80.64516129032258,93.192,80.25806451612904,712,91.29213483146067,94.845,90.58988764044943
G02,98.2,854,88.87587822014052,96.911,88.17330210772833,728,77.74725274725274,92.727,78.70879120879121,713,91.72510518934081,95.87,91.58485273492286
G03,99.0,925,90.27027027027027,93.904,86.70270270270271,724,67.67955801104972,93.462,68.646408839779,716,91.62011173184358,95.588,91.06145251396649
G04,98.5,847,89.13813459268005,96.272,88.66587957497049,731,81.3953488372093,91.796,82.48974008207934,720,92.08333333333333,96.221,92.63888888888889
G05,95.5,816,92.0343137254902,96.507,91.54411764705883,786,83.20610687022901,94.307,82.95165394402035,728,89.97252747252747,96.28,88.87362637362638
G06,98.8,875,85.14285714285714,97.368,84.57142857142857,747,81.52610441767068,91.502,83.40026773761714,721,93.61997226074897,94.93,93.75866851595006
G07,99.5,901,87.2364039955605,95.528,85.3496115427303,734,76.02179836512262,92.593,76.83923705722071,720,91.38888888888889,94.928,91.11111111111111
G08,97.6,865,90.7514450867052,96.629,89.71098265895954,757,74.37252311756936,94.088,74.50462351387054,708,94.91525423728814,95.177,94.77401129943503
G09,98.4,871,88.40413318025259,96.456,87.71526980482204,767,79.13950456323337,94.375,80.57366362451108,732,91.93989071038251,95.857,91.93989071038251
G10,99.6,870,85.86206896551724,97.497,85.17241379310344,762,80.18372703412074,91.502,80.97112860892389,729,92.72976680384087,95.332,93.00411522633745
G11,98.1,860,88.13953488372093,97.025,87.20930232558139,725,75.3103448275862,91.385,77.37931034482759,724,90.60773480662984,96.035,90.60773480662984
G12,97.3,863,90.96176129779838,96.273,90.03476245654693,706,72.37960339943342,91.187,74.5042492917847,722,92.10526315789474,95.821,92.10526315789474
H01,97.8,856,88.90186915887851,96.046,88.3177570093458,740,78.51351351351352,90.439,80.67567567567568,723,88.93499308437067,95.958,89.07330567081604
H02,99.6,874,86.72768878718536,97.392,85.58352402745996,697,78.04878048780488,90.349,81.2051649928264,712,94.38202247191012,95.983,94.10112359550561
H03,99.9,872,87.1559633027523,95.929,86.46788990825688,678,65.78171091445428,91.684,67.10914454277287,722,90.4432132963989,95.876,90.16620498614958
H04,99.5,893,89.24972004479284,94.945,86.33818589025756,736,76.4945652173913,94.295,77.98913043478261,724,92.40331491712708,95.702,92.40331491712708
H05,99.7,862,86.31090487238978,97.748,85.7308584686775,728,76.78571428571429,93.456,78.2967032967033,720,91.80555555555556,95.924,91.80555555555556
H06,98.9,879,89.87485779294653,96.906,89.07849829351535,740,83.37837837837837,91.441,84.1891891891892,733,88.67667121418826,96.712,88.26739427012278
H07,97.2,847,91.73553719008264,96.389,91.61747343565526,741,74.7638326585695,92.308,76.92307692307692,733,91.26875852660301,95.559,90.99590723055934
H08,99.4,868,86.86635944700461,97.516,86.05990783410138,776,80.54123711340206,94.181,79.76804123711341,722,92.10526315789474,95.671,92.24376731301939
H09,97.8,872,86.12385321100918,97.625,84.9770642201835,815,83.68098159509202,95.042,83.19018404907976,731,89.87688098495212,96.755,90.28727770177838
H10,98.9,867,89.27335640138408,96.578,88.1199538638985,731,82.76333789329685,90.813,85.3625170998632,726,91.8732782369146,96.093,91.59779614325069
H11,97.5,855,88.0701754385965,97.653,87.71929824561404,730,74.79452054794521,91.107,77.12328767123287,725,93.24137931034483,95.739,93.37931034482759
H12,99.7,877,87.9133409350057,96.705,87.00114025085519,681,76.94566813509545,88.156,80.32305433186491,730,91.23287671232876,95.954,90.95890410958904
