well,dll_b,dll_matched,dll_fi,cfg1_b,cfg1_m,cfg1_fi,cfg3_b,cfg3_m,cfg3_fi
C03,867,763,88.00461361014995,792,714,90.15151515151516,802,705,87.90523690773067
C04,887,762,85.9075535512965,770,677,87.92207792207792,844,706,83.64928909952607
C05,863,732,84.82039397450754,787,677,86.02287166454892,804,702,87.31343283582089
C06,865,745,86.1271676300578,768,683,88.93229166666667,792,708,89.39393939393939
C07,900,783,87.0,779,701,89.98716302952504,808,724,89.60396039603961
C08,854,732,85.71428571428571,759,660,86.95652173913044,780,707,90.64102564102564
C09,883,736,83.35220838052095,810,704,86.91358024691358,822,715,86.98296836982968
C10,864,745,86.22685185185185,793,699,88.14627994955863,817,709,86.78090575275398
C11,899,769,85.53948832035596,787,695,88.31003811944092,804,684,85.07462686567165
C12,854,729,85.36299765807962,795,677,85.15723270440252,804,693,86.19402985074628
D01,865,764,88.32369942196532,779,689,88.44672657252889,804,701,87.18905472636816
D02,854,738,86.4168618266979,772,693,89.76683937823834,795,693,87.16981132075472
D03,858,751,87.52913752913753,783,702,89.65517241379311,806,708,87.84119106699752
D04,877,740,84.37856328392246,777,685,88.15958815958815,795,695,87.42138364779875
D05,871,758,87.0264064293915,762,699,91.73228346456693,794,718,90.42821158690177
D06,846,730,86.28841607565012,798,685,85.83959899749374,811,705,86.92971639950679
D07,864,729,84.375,788,698,88.57868020304568,800,700,87.5
D08,895,751,83.91061452513966,765,695,90.84967320261438,790,696,88.10126582278481
D09,867,728,83.96770472895041,786,700,89.05852417302799,805,708,87.95031055900621
D10,890,773,86.85393258426966,783,705,90.03831417624521,807,733,90.83023543990086
D11,872,789,90.48165137614679,796,698,87.68844221105527,814,702,86.24078624078624
D12,869,737,84.81012658227849,788,701,88.95939086294416,799,703,87.98498122653316
E01,875,733,83.77142857142857,776,697,89.81958762886597,813,704,86.5928659286593
E02,865,758,87.6300578034682,763,691,90.56356487549148,794,692,87.15365239294711
E03,865,774,89.47976878612717,786,701,89.18575063613231,802,706,88.02992518703242
E04,869,734,84.46490218642117,795,689,86.66666666666667,824,685,83.13106796116504
E05,875,782,89.37142857142857,773,683,88.35705045278137,795,695,87.42138364779875
E06,867,727,83.85236447520184,773,717,92.75549805950841,805,709,88.07453416149069
E07,863,746,86.44264194669756,779,696,89.34531450577664,798,699,87.59398496240601
E08,870,733,84.25287356321839,791,704,89.00126422250317,810,705,87.03703703703704
E10,880,752,85.45454545454545,766,679,88.64229765013054,782,704,90.02557544757033
E09,869,742,85.385500575374,782,678,86.70076726342711,806,695,86.22828784119106
E11,862,735,85.26682134570765,798,704,88.22055137844612,824,704,85.4368932038835
E12,883,774,87.65571913929784,803,708,88.16936488169365,829,719,86.73100120627262
F01,850,755,88.82352941176471,773,693,89.65071151358345,796,694,87.1859296482412
F02,844,749,88.74407582938389,782,702,89.769820971867,808,705,87.25247524752476
F03,878,737,83.94077448747153,769,687,89.3368010403121,793,688,86.75914249684742
F04,863,739,85.63151796060255,789,696,88.212927756654,816,718,87.99019607843137
F05,855,710,83.04093567251462,775,678,87.48387096774194,789,697,88.33967046894803
F06,871,760,87.25602755453502,787,700,88.9453621346887,808,711,87.9950495049505
F07,851,764,89.77673325499413,776,690,88.91752577319588,795,724,91.06918238993711
F08,862,737,85.49883990719258,760,698,91.84210526315789,792,701,88.51010101010101
F09,873,778,89.11798396334478,790,701,88.73417721518987,805,704,87.45341614906832
F10,887,775,87.37316798196167,787,698,88.69123252858958,817,713,87.27050183598531
F11,873,772,88.43069873997709,772,676,87.56476683937824,796,682,85.678391959799
F12,848,741,87.38207547169812,793,703,88.65069356872635,818,696,85.08557457212714
G01,842,731,86.81710213776722,791,680,85.96713021491783,812,683,84.11330049261083
G02,854,753,88.17330210772833,796,693,87.06030150753769,805,695,86.33540372670808
G03,925,802,86.70270270270271,795,699,87.9245283018868,811,700,86.31319358816276
G04,847,751,88.66587957497049,762,685,89.89501312335958,799,697,87.23404255319149
G05,816,747,91.54411764705883,779,695,89.21694480102695,806,704,87.34491315136476
G06,875,740,84.57142857142857,783,694,88.63346104725414,798,705,88.34586466165413
G07,901,769,85.3496115427303,791,695,87.86346396965865,808,696,86.13861386138613
G08,865,776,89.71098265895954,772,692,89.63730569948187,794,694,87.40554156171285
G09,871,764,87.71526980482204,809,708,87.51545117428924,829,728,87.81664656212304
G10,870,741,85.17241379310344,788,690,87.56345177664974,813,704,86.5928659286593
G11,860,750,87.20930232558139,785,697,88.78980891719745,816,708,86.76470588235294
G12,863,777,90.03476245654693,783,697,89.01660280970626,794,698,87.90931989924434
H01,856,756,88.3177570093458,779,714,91.65596919127086,799,708,88.61076345431789
H02,874,748,85.58352402745996,787,694,88.18297331639135,810,706,87.1604938271605
H03,872,754,86.46788990825688,758,684,90.23746701846966,788,688,87.30964467005076
H04,893,771,86.33818589025756,798,696,87.21804511278195,812,698,85.96059113300493
H05,862,739,85.7308584686775,780,695,89.1025641025641,793,702,88.52459016393442
H06,879,783,89.07849829351535,767,713,92.95958279009126,806,714,88.58560794044665
H07,847,776,91.61747343565526,780,702,90.0,801,711,88.76404494382022
H08,868,747,86.05990783410138,764,696,91.09947643979058,800,698,87.25
H09,872,741,84.9770642201835,794,699,88.0352644836272,813,705,86.71586715867159
H10,867,764,88.1199538638985,791,712,90.01264222503161,813,713,87.69987699877
H11,855,750,87.71929824561404,798,692,86.71679197994987,816,718,87.99019607843137
H12,877,763,87.00114025085519,790,707,89.49367088607595,809,712,88.00988875154512
