well,n_regions,margin,stitch,tail_frac,matched,full_identity,pident,dll_matched
A11,6,0.02,vote,0.7,717,85.05338078291815,95.219,739
A11,6,0.02,vote,0.8,720,85.40925266903915,95.618,739
A11,6,0.02,vote,0.9,731,86.71411625148279,97.078,739
A11,6,0.02,conf,0.6,713,84.57888493475681,94.688,739
A11,6,0.02,conf,0.7,716,84.93475682087782,95.086,739
A11,6,0.02,conf,0.8,719,85.29062870699882,95.485,739
A11,6,0.02,conf,0.9,730,86.59549228944246,96.946,739
A11,6,0.02,wmax,0.6,713,84.57888493475681,94.688,739
A11,6,0.02,wmax,0.7,716,84.93475682087782,95.086,739
A11,6,0.02,wmax,0.8,719,85.29062870699882,95.485,739
A11,6,0.02,wmax,0.9,730,86.59549228944246,96.946,739
A11,8,0.0,vote,0.6,716,84.93475682087782,95.086,739
A11,8,0.0,vote,0.7,719,85.29062870699882,95.485,739
A11,8,0.0,vote,0.8,724,85.88374851720047,96.149,739
A11,8,0.0,vote,0.9,731,86.71411625148279,97.078,739
A11,8,0.0,conf,0.6,716,84.93475682087782,95.086,739
A11,8,0.0,conf,0.7,719,85.29062870699882,95.485,739
A11,8,0.0,conf,0.8,724,85.88374851720047,96.149,739
A11,8,0.0,conf,0.9,731,86.71411625148279,97.078,739
A11,8,0.0,wmax,0.6,716,84.93475682087782,95.086,739
A11,8,0.0,wmax,0.7,719,85.29062870699882,95.485,739
A11,8,0.0,wmax,0.8,724,85.88374851720047,96.149,739
A11,8,0.0,wmax,0.9,731,86.71411625148279,97.078,739
A11,8,0.02,vote,0.6,715,84.81613285883749,94.954,739
A11,8,0.02,vote,0.7,718,85.17200474495849,95.352,739
A11,8,0.02,vote,0.8,723,85.76512455516014,96.016,739
A11,8,0.02,vote,0.9,730,86.59549228944246,96.946,739
A11,8,0.02,conf,0.6,717,85.05338078291815,95.219,739
A11,8,0.02,conf,0.7,720,85.40925266903915,95.618,739
A11,8,0.02,conf,0.8,725,86.0023724792408,96.282,739
A11,8,0.02,conf,0.9,732,86.83274021352314,97.211,739
A11,8,0.02,wmax,0.6,717,85.05338078291815,95.219,739
A11,8,0.02,wmax,0.7,720,85.40925266903915,95.618,739
A11,8,0.02,wmax,0.8,725,86.0023724792408,96.282,739
A11,8,0.02,wmax,0.9,732,86.83274021352314,97.211,739
B02,6,0.0,vote,0.6,687,81.88319427890346,95.284,771
B02,6,0.0,vote,0.7,692,82.47914183551848,95.978,771
B02,6,0.0,vote,0.8,692,82.47914183551848,95.978,771
B02,6,0.0,vote,0.9,747,89.03456495828367,95.281,771
B02,6,0.0,conf,0.6,687,81.88319427890346,95.284,771
B02,6,0.0,conf,0.7,692,82.47914183551848,95.978,771
B02,6,0.0,conf,0.8,692,82.47914183551848,95.978,771
B02,6,0.0,conf,0.9,747,89.03456495828367,95.281,771
B02,6,0.0,wmax,0.6,687,81.88319427890346,95.284,771
B02,6,0.0,wmax,0.7,692,82.47914183551848,95.978,771
B02,6,0.0,wmax,0.8,692,82.47914183551848,95.978,771
B02,6,0.0,wmax,0.9,747,89.03456495828367,95.281,771
B02,6,0.02,vote,0.6,687,81.88319427890346,95.284,771
B02,6,0.02,vote,0.7,693,82.59833134684148,96.117,771
B02,6,0.02,vote,0.8,693,82.59833134684148,96.117,771
B02,6,0.02,vote,0.9,749,89.27294398092968,95.536,771
B02,6,0.02,conf,0.6,687,81.88319427890346,95.284,771
B02,6,0.02,conf,0.7,693,82.59833134684148,96.117,771
B02,6,0.02,conf,0.8,693,82.59833134684148,96.117,771
B02,6,0.02,conf,0.9,749,89.27294398092968,95.536,771
B02,6,0.02,wmax,0.6,687,81.88319427890346,95.284,771
B02,6,0.02,wmax,0.7,693,82.59833134684148,96.117,771
B02,6,0.02,wmax,0.8,693,82.59833134684148,96.117,771
B02,6,0.02,wmax,0.9,749,89.27294398092968,95.536,771
B02,8,0.0,vote,0.6,680,81.04886769964243,94.313,771
B02,8,0.0,vote,0.7,688,82.00238379022646,95.423,771
B02,8,0.0,vote,0.8,694,82.71752085816448,96.255,771
B02,8,0.0,vote,0.9,747,89.03456495828367,95.153,771
B02,8,0.0,conf,0.6,680,81.04886769964243,94.313,771
B02,8,0.0,conf,0.7,688,82.00238379022646,95.423,771
B02,8,0.0,conf,0.8,694,82.71752085816448,96.255,771
B02,8,0.0,conf,0.9,747,89.03456495828367,95.153,771
B02,8,0.0,wmax,0.6,680,81.04886769964243,94.313,771
B02,8,0.0,wmax,0.7,688,82.00238379022646,95.423,771
B02,8,0.0,wmax,0.8,694,82.71752085816448,96.255,771
B02,8,0.0,wmax,0.9,747,89.03456495828367,95.153,771
B02,8,0.02,vote,0.6,681,81.16805721096543,94.452,771
B02,8,0.02,vote,0.7,689,82.12157330154946,95.562,771
B02,8,0.02,vote,0.8,695,82.83671036948749,96.394,771
B02,8,0.02,vote,0.9,747,89.03456495828367,95.281,771
B02,8,0.02,conf,0.6,681,81.16805721096543,94.452,771
B02,8,0.02,conf,0.7,689,82.12157330154946,95.562,771
B02,8,0.02,conf,0.8,696,82.95589988081049,96.533,771
B02,8,0.02,conf,0.9,748,89.15375446960668,95.408,771
B02,8,0.02,wmax,0.6,681,81.16805721096543,94.452,771
B02,8,0.02,wmax,0.7,689,82.12157330154946,95.562,771
B02,8,0.02,wmax,0.8,696,82.95589988081049,96.533,771
B02,8,0.02,wmax,0.9,748,89.15375446960668,95.408,771
